Index Code,Grant Awarded
HS-BAR,123456
HS-BIR,123456
HS-BIS,123456
HS-BLY,123456
HS-BST,123456
HS-BUX,123456
HS-CAR,123456
HS-CHA,123456
HS-CRE,123456
HS-DER,123456
HS-DOV,123456
HS-DUD,123456
HS-ELL,123456
HS-FAR,123456
HS-FRA,123456
HS-GRA,123456
HS-GRE,123456
HS-GRI,123456
HS-GRN,123456
HS-HAL,123456
HS-HEA,123456
HS-HIG,123456
HS-HRG,123456
HS-KID,123456
HS-KIN,123456
HS-KIR,123456
HS-LEA,123456
HS-LOF,123456
HS-MID,123456
HS-MRH,123456
HS-MYP,123456
HS-NOT,123456
HS-NRA,123456
HS-NTH,123456
HS-NUL,123456
HS-NUN,123456
HS-NWA,123456
HS-NWF,123456
HS-NWH,123456
HS-OLD,123456
HS-PAI,123456
HS-PEN,123456
HS-PLY,123456
HS-POR,123456
HS-RAM,123456
HS-RCH,123456
HS-RTH,123456
HS-SAL,123456
HS-SCU,123456
HS-SHE,123456
HS-SIA,123456
HS-SNE,123456
HS-SOS,123456
HS-STF,123456
HS-STH,123456
HS-STK,123456
HS-STO,123456
HS-STR,123456
HS-SUN,123456
HS-SUT,123456
HS-SWI,123456
HS-TAM,123456
HS-TAU,123456
HS-TRO,123456
HS-WAL,123456
HS-WAN,123456
HS-WEA,123456
HS-WIG,123456
HS-WNS,123456
HS-WOL,123456
HS-WRC,123456
HS-YEO,123456
TD-BAR-01,123456
TD-BAR-02,123456
TD-BAR-03,123456
TD-BAR-04,123456
TD-BAR-05,123456
TD-BAR-06,123456
TD-BAR-07,123456
TD-BAR-08,123456
TD-BAR-09,123456
TD-BED-01,123456
TD-BED-02,123456
TD-BED-03,123456
TD-BED-04,123456
TD-BED-05,123456
TD-BED-06,123456
TD-BED-07,123456
TD-BED-08,123456
TD-BIR-01,123456
TD-BIR-03,123456
TD-BIR-04,123456
TD-BIR-05,123456
TD-BIR-06,123456
TD-BIR-07,123456
TD-BIR-08,123456
TD-BIR-10,123456
TD-BIR-11,123456
TD-BIR-12,123456
TD-BIR-13,123456
TD-BIR-14,123456
TD-BIR-15,123456
TD-BIS-01,123456
TD-BIS-02,123456
TD-BIS-03,123456
TD-BIS-04,123456
TD-BIS-05,123456
TD-BIS-06,123456
TD-BIS-07,123456
TD-BIS-08,123456
TD-BLA-01,123456
TD-BLA-02,123456
TD-BLA-03,123456
TD-BLA-04,123456
TD-BLA-05,123456
TD-BLA-06,123456
TD-BLA-07,123456
TD-BLO-01,123456
TD-BLO-02,123456
TD-BLO-03,123456
TD-BLO-04,123456
TD-BLO-05,123456
TD-BLO-06,123456
TD-BLY-01,123456
TD-BLY-02,123456
TD-BLY-03,123456
TD-BLY-04,123456
TD-BLY-05,123456
TD-BLY-06,123456
TD-BLY-07,123456
TD-BLY-08,123456
TD-BOL-01,123456
TD-BOL-02,123456
TD-BOL-03,123456
TD-BOL-04,123456
TD-BOL-05,123456
TD-BOS-01,123456
TD-BOS-02,123456
TD-BOS-03,123456
TD-BOS-04,123456
TD-BOS-05,123456
TD-BOS-06,123456
TD-BOS-09,123456
TD-BOS-10,123456
TD-BOU-01,123456
TD-BOU-02,123456
TD-BOU-03,123456
TD-BOU-04,123456
TD-BOU-05,123456
TD-BOU-06,123456
TD-BOU-07,123456
TD-BOU-08,123456
TD-BOU-09,123456
TD-BOU-10,123456
TD-BOU-11,123456
TD-BRD-01,123456
TD-BRD-02,123456
TD-BRD-03,123456
TD-BRD-04,123456
TD-BRD-05,123456
TD-BRD-06,123456
TD-BRD-07,123456
TD-BRD-08,123456
TD-BRD-09,123456
TD-BRD-10,123456
TD-BRD-11,123456
TD-BRG-01,123456
TD-BRG-02,123456
TD-BRG-03,123456
TD-BRG-04,123456
TD-BRG-05,123456
TD-BUR-02,123456
TD-BUR-03,123456
TD-BUR-04,123456
TD-BUR-05,123456
TD-BUR-06,123456
TD-BUR-07,123456
TD-CAM-01,123456
TD-CAM-02,123456
TD-CAM-03,123456
TD-CAM-04,123456
TD-CAM-05,123456
TD-CAM-06,123456
TD-CAM-07,123456
TD-CAM-08,123456
TD-CAM-09,123456
TD-CAR-02,123456
TD-CAR-03,123456
TD-CAR-04,123456
TD-CAR-05,123456
TD-CAR-06,123456
TD-CAR-07,123456
TD-CAR-08,123456
TD-CAS-01,123456
TD-CAS-02,123456
TD-CAS-03,123456
TD-CAS-04,123456
TD-CAS-05,123456
TD-CHE-01,123456
TD-CHE-02,123456
TD-CHE-03,123456
TD-CLA-05,123456
TD-CLA-08,123456
TD-CLA-09,123456
TD-CLA-10,123456
TD-CLA-11,123456
TD-CLE-01,123456
TD-CLE-03,123456
TD-CLE-04,123456
TD-CLE-05,123456
TD-COL-01,123456
TD-COL-02,123456
TD-COL-03,123456
TD-COL-04,123456
TD-COL-05,123456
TD-COL-06,123456
TD-COL-07,123456
TD-COL-08,123456
TD-COR-01,123456
TD-COR-02,123456
